StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent question,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,ID Question,PROLIFIC_PID
2025-10-05 07:22:51,2025-10-05 07:24:21,IP Address,35.133.62.38,100,89,True,2025-10-05 07:24:21,R_6JgBlIEZPxdudGN,,,,,46.1285,-112.9423,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,50,57,60,70,76,77,70,100,49,37,58,,,,,,,,,,,,,,,,,,,,,,,,60dfd857e293a99dd577f4c8
2025-10-05 07:23:49,2025-10-05 07:24:25,IP Address,71.112.195.247,100,35,True,2025-10-05 07:24:25,R_1JbgUVV80ydoRt9,,,,,40.4268,-79.8935,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,66,20,19,90,59,79,68,100,26,88,90,,,,,,,,,,,,,,,,,,,,,,,,5fc521555cd05b000cfe0998
2025-10-05 07:23:14,2025-10-05 07:24:28,IP Address,86.109.83.201,100,74,True,2025-10-05 07:24:29,R_5PMnTRVgMS5wo9q,,,,,37.8117,-80.4434,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,60,50,70,30,80,60,80,100,70,100,100,,,,,,,,,,,,,,,,,,,,,,,,67c78fbc58d20f4b7fe41479
2025-10-05 07:23:11,2025-10-05 07:24:36,IP Address,73.171.167.142,100,85,True,2025-10-05 07:24:36,R_3dAdfFmmOhUaMVy,,,,,30.1223,-81.3627,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,64,41,45,84,88,91,100,51,44,29,,,,,,,,,,,,,5d8a1d20d1afcb0019d7390b
2025-10-05 07:24:01,2025-10-05 07:24:38,IP Address,73.55.64.148,100,36,True,2025-10-05 07:24:39,R_7lQutsihWTpIMXM,,,,,26.9146,-82.0559,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,9,0,100,84,100,100,100,11,72,100,,,,,,,,,,,,,664b8bef90cdb799d4c4c35d
2025-10-05 07:24:00,2025-10-05 07:24:49,IP Address,71.198.76.179,100,48,True,2025-10-05 07:24:49,R_6ORUJDIhu6Qdb9v,,,,,37.4001,-121.8531,anonymous,EN,I agree to participate,,,,,,,,,,,,50,65,53,51,81,55,52,100,0,51,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e4b793f03c92a08a6d28e3f
2025-10-05 07:24:07,2025-10-05 07:25:03,IP Address,151.203.65.56,100,55,True,2025-10-05 07:25:03,R_7PV1GaJfPgSY0wh,,,,,42.7324,-70.993,anonymous,EN,I agree to participate,,,,,,,,,,,,80,39,61,29,49,8,79,99,75,79,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64cf9d38c6677895238e9ef5
2025-10-05 07:23:39,2025-10-05 07:25:05,IP Address,104.152.77.68,100,85,True,2025-10-05 07:25:05,R_5yfjha0IFSnV5aI,,,,,46.9232,-98.0056,anonymous,EN,I agree to participate,95,5,95,50,90,10,70,100,100,0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65f8caa8238a933fdf42f4c3
2025-10-05 07:24:37,2025-10-05 07:25:15,IP Address,75.64.255.8,100,38,True,2025-10-05 07:25:15,R_76nqKSJXilBnbih,,,,,35.1128,-89.9085,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,63,66,59,51,54,55,70,100,41,77,44,,,,,,,,,,,,,,,,,,,,,,,,5622e62bed6e5a0011c807b3
2025-10-05 07:24:09,2025-10-05 07:25:24,IP Address,172.56.229.62,100,75,True,2025-10-05 07:25:25,R_7kB71e8BvsniK60,,,,,33.6454,-86.7014,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,60,60,80,80,70,70,100,50,50,20,,669d753a74776ad79e3cdff4
2025-10-05 07:24:28,2025-10-05 07:25:26,IP Address,172.56.219.12,100,58,True,2025-10-05 07:25:27,R_7LMXJK5Z1KGAJVB,,,,,40.0378,-75.0693,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,80,50,100,80,30,100,100,30,41,20,,,,,,,,,,,,,5e2ac2aa0038f21089a533a4
2025-10-05 07:24:38,2025-10-05 07:25:28,IP Address,47.220.14.151,100,50,True,2025-10-05 07:25:29,R_1bWq0YHBjcA2olH,,,,,32.886,-96.4095,anonymous,EN,I agree to participate,100,100,100,100,99,52,71,98,87,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678da017eecfeb40cd30b706
2025-10-05 07:24:15,2025-10-05 07:25:41,IP Address,108.193.15.92,100,85,True,2025-10-05 07:25:41,R_7dcvIdEAp4arqcK,,,,,30.7813,-91.3809,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,100,100,76,75,75,77,76,100,77,100,76,,,,,,,,,,,,,,,,,,,,,,,,6474a86474b12fd778ae530f
2025-10-05 07:24:38,2025-10-05 07:25:42,IP Address,71.126.99.235,100,64,True,2025-10-05 07:25:43,R_3MNl3syGAIGGwSJ,,,,,40.6632,-76.3285,anonymous,EN,I agree to participate,,,,,,,,,,,,24,75,7,0,76,33,90,100,0,22,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67dd78fc6e1a73e4ab982151
2025-10-05 07:24:10,2025-10-05 07:25:44,IP Address,75.209.117.55,100,94,True,2025-10-05 07:25:45,R_7NY3TbUTc0olZy9,,,,,41.4568,-81.7814,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,58,73,58,31,96,96,99,60,72,65,,62cbf51439a76e8fccd8a495
2025-10-05 07:23:00,2025-10-05 07:25:48,IP Address,204.111.198.199,100,168,True,2025-10-05 07:25:49,R_62kWw4TFdkZtc2x,,,,,40.2389,-77.1935,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,10,100,0,99,100,100,100,50,75,80,,60b4277a6c6540693acdd766
2025-10-05 07:25:26,2025-10-05 07:26:18,IP Address,66.176.122.181,100,52,True,2025-10-05 07:26:19,R_3gMjWKfhJFTpm8b,,,,,26.5226,-80.06,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,58,100,59,29,60,100,100,31,71,80,,,,,,,,,,,,,62b07ac53b83bf0683eda6b6
2025-10-05 07:23:56,2025-10-05 07:26:27,IP Address,46.203.164.42,100,151,True,2025-10-05 07:26:27,R_7EIIppMloiaZZQd,,,,,39.0469,-77.4903,anonymous,EN,,87,92,49,85,90,50,90,99,68,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6841f4329a9deda70eae9ed4
2025-10-05 07:24:45,2025-10-05 07:26:29,IP Address,73.208.120.107,100,104,True,2025-10-05 07:26:30,R_3Py5JymEpmz2oLL,,,,,41.945,-87.7996,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,81,81,10,90,99,100,99,51,99,9,,5f17553ce0feb10c3dd2b16a
2025-10-05 07:25:39,2025-10-05 07:26:30,IP Address,97.119.145.86,100,51,True,2025-10-05 07:26:31,R_5afWSro1SQ8E1zz,,,,,41.2377,-95.9998,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,39,69,70,18,22,87,100,6,39,16,,,,,,,,,,,,,6111308dc631d4011ef43a73
2025-10-05 07:26:04,2025-10-05 07:26:54,IP Address,24.102.167.96,100,50,True,2025-10-05 07:26:55,R_5feEi1zcKOciPkr,,,,,41.1988,-75.9053,anonymous,EN,I agree to participate,,,,,,,,,,,,92,100,87,75,92,100,97,100,96,100,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612962f44f151ddfd0298c52
2025-10-05 07:26:42,2025-10-05 07:27:31,IP Address,99.22.140.17,100,49,True,2025-10-05 07:27:32,R_1nNBLbfcWkSsRhv,,,,,38.4965,-121.5348,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,52,77,100,100,100,100,100,89,0,,5c395df5f5ebd50001850900
2025-10-05 07:24:46,2025-10-05 07:27:45,IP Address,47.157.254.61,100,178,True,2025-10-05 07:27:45,R_1LUlISPkvs5wSBI,,,,,33.7215,-118.0509,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,93,90,31,70,38,95,60,100,92,51,79,,,,,,,,,,,,,,,,,,,,,,,,6657b0d02e5dfa6c2663a647
2025-10-05 07:26:37,2025-10-05 07:27:52,IP Address,68.9.190.103,100,74,True,2025-10-05 07:27:52,R_5Y9vASheC3xCu4x,,,,,41.7689,-71.4758,anonymous,EN,I agree to participate,1,100,100,6,46,24,86,100,100,11,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63614aa1d254ddadb855d3c7
2025-10-05 07:27:08,2025-10-05 07:27:57,IP Address,47.199.158.163,100,49,True,2025-10-05 07:27:58,R_5qKYXPqD9CyiUtZ,,,,,28.232,-82.7324,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,71,4,98,12,10,90,100,61,29,10,,,,,,,,,,,,,6684497541f835bd67a199b2
2025-10-05 07:26:49,2025-10-05 07:28:13,IP Address,164.153.59.123,100,84,True,2025-10-05 07:28:14,R_6VhOvtnTL4H3sAh,,,,,34.1736,-82.1545,anonymous,EN,I agree to participate,66,80,18,26,90,40,31,100,67,50,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608437f0b139060610c9f0c1
2025-10-05 07:26:39,2025-10-05 07:28:15,IP Address,66.187.103.239,100,96,True,2025-10-05 07:28:16,R_5QsbAO29AGcvcwu,,,,,42.5132,-84.6538,anonymous,EN,I agree to participate,,,,,,,,,,,,70,29,59,0,80,0,80,100,60,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e6d8c46f93a0c35d1f82335
2025-10-05 07:27:31,2025-10-05 07:28:19,IP Address,173.30.204.6,100,47,True,2025-10-05 07:28:19,R_7DTii5zKLeIEFNJ,,,,,41.5822,-93.6802,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,51,82,76,79,62,96,100,77,92,51,,,,,,,,,,,,,653be40e7331e59bf42923a6
2025-10-05 07:27:15,2025-10-05 07:28:26,IP Address,69.145.22.108,100,71,True,2025-10-05 07:28:27,R_1E5obLEUXqXWf6n,,,,,46.2412,-114.1713,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,50,90,80,100,100,100,100,100,60,90,,59298c0b0b19ce0001202f22
2025-10-05 07:23:11,2025-10-05 07:28:29,IP Address,98.4.48.118,100,318,True,2025-10-05 07:28:30,R_1y4348pKlZ1reN7,,,,,42.9005,-78.6726,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,100,79,10,22,100,99,100,50,100,10,,63e6a6055e8b8b5638a9f861
2025-10-05 07:27:25,2025-10-05 07:29:34,IP Address,71.34.64.7,100,129,True,2025-10-05 07:29:34,R_52nDhpHn5zgZ2hu,,,,,45.5777,-122.6795,anonymous,EN,I agree to participate,,,,,,,,,,,,72,81,0,53,71,30,76,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68b2083b4730246dc6281533
2025-10-05 07:28:21,2025-10-05 07:29:35,IP Address,99.56.172.124,100,74,True,2025-10-05 07:29:36,R_14HFIZwB6Wryqbw,,,,,40.7123,-73.7985,anonymous,EN,I agree to participate,1,60,69,89,53,23,73,100,81,22,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6110888158573651261c3100
2025-10-05 07:28:35,2025-10-05 07:29:39,IP Address,98.194.161.139,100,63,True,2025-10-05 07:29:39,R_6rGlr0KoRWvlNUn,,,,,30.2393,-95.5409,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,64,88,14,73,71,89,100,37,66,24,,6643cfc6878e4f517c10e69c
2025-10-05 07:27:17,2025-10-05 07:29:40,IP Address,47.41.79.4,100,143,True,2025-10-05 07:29:40,R_1S1YOmHp8c27UgA,,,,,44.0484,-92.4948,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,80,70,30,60,50,85,95,100,40,40,90,,,,,,,,,,,,,,,,,,,,,,,,607668ac450fc6e3025a131d
