prompt,model,model_family,model_output,yes_prob,no_prob,relative_prob
"Is ""plagiarism"" a form of ""theft""?",allenai/tk-instruct-3b-def,tk,No,0.4319210052490234,0.5633311867713928,0.4339814659158904
"Is ""remote viewing"" of an event ""attending"" it?",allenai/tk-instruct-3b-def,tk,No,0.2604120075702667,0.7360717058181763,0.2613309219924546
"Is ""whistling"" a form of ""music""?",allenai/tk-instruct-3b-def,tk,No,0.1705415248870849,0.8264206051826477,0.1710611865218555
"Is ""caching"" data in computer memory ""storing"" that data?",allenai/tk-instruct-3b-def,tk,No,0.2742136418819427,0.722456693649292,0.2751297315734638
"Is a ""waterway"" a form of ""roadway""?",allenai/tk-instruct-3b-def,tk,No,0.1495342254638672,0.8471691012382507,0.1500288214735317
"Is a ""deepfake"" a ""portrait""?",allenai/tk-instruct-3b-def,tk,No,0.1532586067914962,0.8415552973747253,0.1540575640827478
"Is ""humming"" a form of ""singing""?",allenai/tk-instruct-3b-def,tk,No,0.2179084718227386,0.7786118388175964,0.2186693733143451
"Is ""liking"" a social media post ""endorsing"" it?",allenai/tk-instruct-3b-def,tk,No,0.1998996138572693,0.7968192100524902,0.2005576789180493
"Is ""herding"" animals a form of ""transporting"" them?",allenai/tk-instruct-3b-def,tk,No,0.1629157811403274,0.8338436484336853,0.1634454375916495
"Is an ""NFT"" a ""security""?",allenai/tk-instruct-3b-def,tk,No,0.128958597779274,0.8676092028617859,0.1294027337591271
"Is ""sleeping"" an ""activity""?",allenai/tk-instruct-3b-def,tk,No,0.1876730173826217,0.8088703155517578,0.1883239907190063
"Is a ""driverless car"" a ""motor vehicle operator""?",allenai/tk-instruct-3b-def,tk,No,0.1564795672893524,0.8393375277519226,0.1571368558227719
"Is a ""subscription fee"" a form of ""purchase""?",allenai/tk-instruct-3b-def,tk,No,0.2978958189487457,0.6980608701705933,0.2991051942350585
"Is ""mentoring"" someone a form of ""supervising"" them?",allenai/tk-instruct-3b-def,tk,No,0.1629197299480438,0.8338638544082642,0.1634454384130456
"Is a ""biometric scan"" a form of ""signature""?",allenai/tk-instruct-3b-def,tk,No,0.2739632427692413,0.721796989440918,0.2751297289319948
"Is a ""digital wallet"" a ""bank account""?",allenai/tk-instruct-3b-def,tk,No,0.2124880105257034,0.7833449244499207,0.213377167055541
"Is ""dictation"" a form of ""writing""?",allenai/tk-instruct-3b-def,tk,No,0.157705157995224,0.8393285870552063,0.1581743434243012
"Is a ""virtual tour"" a form of ""inspection""?",allenai/tk-instruct-3b-def,tk,No,0.1852621734142303,0.8110538125038147,0.1859472055379322
"Is ""bartering"" a form of ""payment""?",allenai/tk-instruct-3b-def,tk,No,0.1629347652196884,0.8339408040046692,0.1634454391800008
"Is ""listening"" to an audiobook ""reading"" it?",allenai/tk-instruct-3b-def,tk,No,0.2316435575485229,0.765487015247345,0.2323101546260029
"Is a ""nest"" a form of ""dwelling""?",allenai/tk-instruct-3b-def,tk,No,0.2650141417980194,0.7317275404930115,0.2658804648250277
"Is a ""QR code"" a ""document""?",allenai/tk-instruct-3b-def,tk,No,0.1629803776741027,0.8341743350028992,0.1634454268751927
"Is a ""tent"" a ""building""?",allenai/tk-instruct-3b-def,tk,No,0.166144460439682,0.8306700587272644,0.1666754017372575
"Is a ""whisper"" a form of ""speech""?",allenai/tk-instruct-3b-def,tk,No,0.2558584213256836,0.7403509020805359,0.2568319883323893
"Is ""hiking"" a form of ""travel""?",allenai/tk-instruct-3b-def,tk,No,0.1984651237726211,0.7973058819770813,0.1993079961423454
"Is a ""recipe"" a form of ""instruction""?",allenai/tk-instruct-3b-def,tk,No,0.2913231253623962,0.7043288946151733,0.2925953239857428
"Is ""daydreaming"" a form of ""thinking""?",allenai/tk-instruct-3b-def,tk,No,0.2663241028785705,0.729621946811676,0.2674081622808797
"Is ""gossip"" a form of ""news""?",allenai/tk-instruct-3b-def,tk,No,0.169356495141983,0.8271147012710571,0.1699562373218706
"Is a ""mountain"" a form of ""hill""?",allenai/tk-instruct-3b-def,tk,No,0.2408873885869979,0.7536699175834656,0.2422056397278235
"Is ""walking"" a form of ""exercise""?",allenai/tk-instruct-3b-def,tk,No,0.214996188879013,0.780303418636322,0.2160115278410782
"Is a ""candle"" a ""lamp""?",allenai/tk-instruct-3b-def,tk,No,0.1532747596502304,0.8416440486907959,0.1540575556168325
"Is a ""trail"" a ""road""?",allenai/tk-instruct-3b-def,tk,No,0.1131493300199508,0.883062481880188,0.1135795908744887
"Is ""repainting"" a house ""repairing"" it?",allenai/tk-instruct-3b-def,tk,No,0.2527305483818054,0.7428163290023804,0.2538610226430107
"Is ""kneeling"" a form of ""sitting""?",allenai/tk-instruct-3b-def,tk,No,0.16181580722332,0.8347094655036926,0.1623800335545004
"Is a ""mask"" a form of ""clothing""?",allenai/tk-instruct-3b-def,tk,No,0.2126965224742889,0.7841135859489441,0.2133771725195835
"Is a ""screenshot"" a ""photograph""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.1887219846248626,0.8112779855728149,0.1887219902492162
"Is ""advising"" someone ""instructing"" them?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is an ""algorithm"" a ""procedure""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,"Yes, algorithm is a procedure.",0.7185943722724915,0.0,1.0
"Is a ""drone"" an ""aircraft""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,0.7587509155273438,0.2412490993738174,0.7587509042210743
"Is ""reading aloud"" a form of ""performance""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is ""training"" an AI model ""authoring"" content?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is a ""wedding"" a ""party""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is ""streaming"" a video ""broadcasting"" that video?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is ""braiding"" hair a form of ""weaving""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.0,1.0,0.0
"Is ""digging"" a form of ""construction""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.0,1.0,0.0
"Is a ""smartphone"" a ""computer""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Smartphones are computers.,0.4739843904972076,0.0,1.0
"Is a ""cactus"" a ""tree""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.0,1.0,0.0
"Is a ""bonus"" a form of ""wages""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.84112948179245,0.1588704586029052,0.8411295319276769
"Is ""forwarding"" an email ""sending"" that email?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is a ""chatbot"" a ""service""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is ""plagiarism"" a form of ""theft""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.0,1.0,0.0
"Is ""remote viewing"" of an event ""attending"" it?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is ""whistling"" a form of ""music""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is ""caching"" data in computer memory ""storing"" that data?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is a ""waterway"" a form of ""roadway""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.0,1.0,0.0
"Is a ""deepfake"" a ""portrait""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.0,1.0,0.0
"Is ""humming"" a form of ""singing""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.0,1.0,0.0
"Is ""liking"" a social media post ""endorsing"" it?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is ""herding"" animals a form of ""transporting"" them?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is an ""NFT"" a ""security""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,NFT is not considered as a security under the current regulatory framework in most jurisdictions.,0.205190435051918,0.0,1.0
"Is ""sleeping"" an ""activity""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is a ""driverless car"" a ""motor vehicle operator""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,0.5518963932991028,0.4481036365032196,0.551896376851309
"Is a ""subscription fee"" a form of ""purchase""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is ""mentoring"" someone a form of ""supervising"" them?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,0.7587509155273438,0.2412490993738174,0.7587509042210743
"Is a ""biometric scan"" a form of ""signature""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,0.6513549089431763,0.3486451506614685,0.6513548701194006
"Is a ""digital wallet"" a ""bank account""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.0,1.0,0.0
"Is ""dictation"" a form of ""writing""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is a ""virtual tour"" a form of ""inspection""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is ""bartering"" a form of ""payment""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,0.7391724586486816,0.2608275413513183,0.7391724586486816
"Is ""listening"" to an audiobook ""reading"" it?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is a ""nest"" a form of ""dwelling""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is a ""QR code"" a ""document""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.4225046336650848,0.5774953961372375,0.4225046210734659
"Is a ""tent"" a ""building""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.0,1.0,0.0
"Is a ""whisper"" a form of ""speech""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is ""hiking"" a form of ""travel""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,0.3486451506614685,0.0,1.0
"Is a ""recipe"" a form of ""instruction""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is ""daydreaming"" a form of ""thinking""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is ""gossip"" a form of ""news""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.0,1.0,0.0
"Is a ""mountain"" a form of ""hill""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,0.7772998809814453,0.222700148820877,0.7772998578161043
"Is ""walking"" a form of ""exercise""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is a ""candle"" a ""lamp""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.0,1.0,0.0
"Is a ""trail"" a ""road""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is ""repainting"" a house ""repairing"" it?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.0,1.0,0.0
"Is ""kneeling"" a form of ""sitting""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,No,0.0,1.0,0.0
"Is a ""mask"" a form of ""clothing""?",baichuan-inc/Baichuan2-7B-Chat,baichuan2,Yes,1.0,0.0,1.0
"Is a ""screenshot"" a ""photograph""?",bigscience/bloomz-7b1,bloomz,Yes,0.6068686842918396,0.3918238878250122,0.6076631600508521
"Is ""advising"" someone ""instructing"" them?",bigscience/bloomz-7b1,bloomz,Yes,0.6984422206878662,0.3003962635993957,0.6992544156788787
"Is an ""algorithm"" a ""procedure""?",bigscience/bloomz-7b1,bloomz,Yes,0.7046273946762085,0.2937323749065399,0.7057850447746892
"Is a ""drone"" an ""aircraft""?",bigscience/bloomz-7b1,bloomz,Yes,0.6745992302894592,0.3236762583255768,0.6757645940254117
"Is ""reading aloud"" a form of ""performance""?",bigscience/bloomz-7b1,bloomz,Yes,0.606561005115509,0.3916252553462982,0.607663147792563
"Is ""training"" an AI model ""authoring"" content?",bigscience/bloomz-7b1,bloomz,No,0.3656933903694153,0.6318615078926086,0.3665897395787835
"Is a ""wedding"" a ""party""?",bigscience/bloomz-7b1,bloomz,Yes,0.5378499627113342,0.4600474536418915,0.5389832200156248
"Is ""streaming"" a video ""broadcasting"" that video?",bigscience/bloomz-7b1,bloomz,No,0.468161791563034,0.5304967761039734,0.4687906424882722
"Is ""braiding"" hair a form of ""weaving""?",bigscience/bloomz-7b1,bloomz,No,0.4950426816940307,0.5028384327888489,0.4960938477631887
"Is ""digging"" a form of ""construction""?",bigscience/bloomz-7b1,bloomz,No,0.3878014683723449,0.610097348690033,0.3886180259376976
"Is a ""smartphone"" a ""computer""?",bigscience/bloomz-7b1,bloomz,Yes,0.5222079157829285,0.4754757285118103,0.5234203434818023
"Is a ""cactus"" a ""tree""?",bigscience/bloomz-7b1,bloomz,No,0.4217721223831177,0.5764941573143005,0.4225046272332868
"Is a ""bonus"" a form of ""wages""?",bigscience/bloomz-7b1,bloomz,No,0.4563832879066467,0.5419685244560242,0.4571367350218788
"Is ""forwarding"" an email ""sending"" that email?",bigscience/bloomz-7b1,bloomz,Yes,0.5107561349868774,0.4873669147491455,0.511716601597327
"Is a ""chatbot"" a ""service""?",bigscience/bloomz-7b1,bloomz,Yes,0.5952017903327942,0.402733713388443,0.5964331242984392
"Is ""plagiarism"" a form of ""theft""?",bigscience/bloomz-7b1,bloomz,Yes,0.7538654208183289,0.2447442710399627,0.7549149852686455
"Is ""remote viewing"" of an event ""attending"" it?",bigscience/bloomz-7b1,bloomz,No,0.4794475138187408,0.5184063911437988,0.4804786667009533
"Is ""whistling"" a form of ""music""?",bigscience/bloomz-7b1,bloomz,No,0.4599828124046325,0.537774384021759,0.4610167824918988
"Is ""caching"" data in computer memory ""storing"" that data?",bigscience/bloomz-7b1,bloomz,Yes,0.5840700268745422,0.4141676425933838,0.5851011685281916
"Is a ""waterway"" a form of ""roadway""?",bigscience/bloomz-7b1,bloomz,No,0.4028882384300232,0.5954301953315735,0.4035668628415158
"Is a ""deepfake"" a ""portrait""?",bigscience/bloomz-7b1,bloomz,No,0.4360231757164001,0.5598648190498352,0.4378235082738875
"Is ""humming"" a form of ""singing""?",bigscience/bloomz-7b1,bloomz,Yes,0.5879603028297424,0.4104624390602112,0.5888891329906701
"Is ""liking"" a social media post ""endorsing"" it?",bigscience/bloomz-7b1,bloomz,Yes,0.617784321308136,0.3806058764457702,0.6187804354429509
"Is ""herding"" animals a form of ""transporting"" them?",bigscience/bloomz-7b1,bloomz,Yes,0.5225974917411804,0.4758304357528686,0.5234203464769321
"Is an ""NFT"" a ""security""?",bigscience/bloomz-7b1,bloomz,No,0.4713741242885589,0.5258558392524719,0.4726834747471608
"Is ""sleeping"" an ""activity""?",bigscience/bloomz-7b1,bloomz,Yes,0.5839123129844666,0.4140557944774627,0.5851011756973824
"Is a ""driverless car"" a ""motor vehicle operator""?",bigscience/bloomz-7b1,bloomz,No,0.4139451384544372,0.5837562084197998,0.4148988469859369
"Is a ""subscription fee"" a form of ""purchase""?",bigscience/bloomz-7b1,bloomz,Yes,0.5421288013458252,0.4565182626247406,0.5428632606101608
"Is ""mentoring"" someone a form of ""supervising"" them?",bigscience/bloomz-7b1,bloomz,Yes,0.5307080149650574,0.4683482050895691,0.5312093597055422
"Is a ""biometric scan"" a form of ""signature""?",bigscience/bloomz-7b1,bloomz,No,0.4915827810764313,0.5071873068809509,0.4921881291837479
"Is a ""digital wallet"" a ""bank account""?",bigscience/bloomz-7b1,bloomz,No,0.3655713200569153,0.6316506266593933,0.3665897258485764
"Is ""dictation"" a form of ""writing""?",bigscience/bloomz-7b1,bloomz,Yes,0.5186594128608704,0.479681521654129,0.5195213327727952
"Is a ""virtual tour"" a form of ""inspection""?",bigscience/bloomz-7b1,bloomz,No,0.4913388192653656,0.5069355964660645,0.4921881313620207
"Is ""bartering"" a form of ""payment""?",bigscience/bloomz-7b1,bloomz,Yes,0.5302779078483582,0.4679685831069946,0.5312093883153707
"Is ""listening"" to an audiobook ""reading"" it?",bigscience/bloomz-7b1,bloomz,No,0.4795897006988525,0.5185601115226746,0.4804786764738813
"Is a ""nest"" a form of ""dwelling""?",bigscience/bloomz-7b1,bloomz,Yes,0.5842552781105042,0.4142990112304687,0.5851011651015006
"Is a ""QR code"" a ""document""?",bigscience/bloomz-7b1,bloomz,No,0.4947907924652099,0.5025826096534729,0.4960938314718885
"Is a ""tent"" a ""building""?",bigscience/bloomz-7b1,bloomz,No,0.3658532202243805,0.632137656211853,0.3665897443179247
"Is a ""whisper"" a form of ""speech""?",bigscience/bloomz-7b1,bloomz,Yes,0.6394719481468201,0.3587112426757812,0.640635861258926
"Is ""hiking"" a form of ""travel""?",bigscience/bloomz-7b1,bloomz,Yes,0.6749572157859802,0.323848009109497,0.6757646025095764
"Is a ""recipe"" a form of ""instruction""?",bigscience/bloomz-7b1,bloomz,Yes,0.6216899752616882,0.3770740330219269,0.6224593298371535
"Is ""daydreaming"" a form of ""thinking""?",bigscience/bloomz-7b1,bloomz,Yes,0.6643998622894287,0.33408123254776,0.6654105578210923
"Is ""gossip"" a form of ""news""?",bigscience/bloomz-7b1,bloomz,Yes,0.5726671814918518,0.4255701005458832,0.5736784147380743
"Is a ""mountain"" a form of ""hill""?",bigscience/bloomz-7b1,bloomz,Yes,0.5766624212265015,0.4218952357769012,0.5774953676255635
"Is ""walking"" a form of ""exercise""?",bigscience/bloomz-7b1,bloomz,Yes,0.7050329446792603,0.2939014434814453,0.7057850375712931
"Is a ""candle"" a ""lamp""?",bigscience/bloomz-7b1,bloomz,No,0.4874129891395569,0.5108044147491455,0.4882834012318038
"Is a ""trail"" a ""road""?",bigscience/bloomz-7b1,bloomz,No,0.4483942091464996,0.5493840575218201,0.4493926397532512
"Is ""repainting"" a house ""repairing"" it?",bigscience/bloomz-7b1,bloomz,No,0.4682312309741974,0.5305755138397217,0.4687906178100853
"Is ""kneeling"" a form of ""sitting""?",bigscience/bloomz-7b1,bloomz,No,0.437071681022644,0.561211109161377,0.4378235158617483
"Is a ""mask"" a form of ""clothing""?",bigscience/bloomz-7b1,bloomz,Yes,0.6100782155990601,0.3877892792224884,0.6113819908605823
"Is a ""screenshot"" a ""photograph""?",bigscience/T0_3B,t0_3b,No,0.2972196340560913,0.6292139291763306,0.3208213150428849
"Is ""advising"" someone ""instructing"" them?",bigscience/T0_3B,t0_3b,No,0.3606511950492859,0.4910298585891723,0.423458046305658
"Is an ""algorithm"" a ""procedure""?",bigscience/T0_3B,t0_3b,No,0.2674802839756012,0.680371880531311,0.2821962052645084
"Is a ""drone"" an ""aircraft""?",bigscience/T0_3B,t0_3b,No,0.247704267501831,0.7237899303436279,0.2549724620601746
"Is ""reading aloud"" a form of ""performance""?",bigscience/T0_3B,t0_3b,No,0.3380388021469116,0.6097227931022644,0.356670711117006
"Is ""training"" an AI model ""authoring"" content?",bigscience/T0_3B,t0_3b,No,0.1594564765691757,0.7833408713340759,0.1691312315672093
"Is a ""wedding"" a ""party""?",bigscience/T0_3B,t0_3b,No,0.2377400249242782,0.6852416396141052,0.2575782749088311
"Is ""streaming"" a video ""broadcasting"" that video?",bigscience/T0_3B,t0_3b,No,0.3378520309925079,0.5883343815803528,0.3647775722103135
"Is ""braiding"" hair a form of ""weaving""?",bigscience/T0_3B,t0_3b,No,0.1692162603139877,0.794769823551178,0.1755380737816297
"Is ""digging"" a form of ""construction""?",bigscience/T0_3B,t0_3b,No,0.1736644506454467,0.7983248233795166,0.178669101898944
"Is a ""smartphone"" a ""computer""?",bigscience/T0_3B,t0_3b,No,0.3318715989589691,0.5824528336524963,0.3629691902808367
"Is a ""cactus"" a ""tree""?",bigscience/T0_3B,t0_3b,No,0.2790145874023437,0.6878753900527954,0.2885691173847018
"Is a ""bonus"" a form of ""wages""?",bigscience/T0_3B,t0_3b,No,0.413422554731369,0.5519915819168091,0.4282333757476672
"Is ""forwarding"" an email ""sending"" that email?",bigscience/T0_3B,t0_3b,No,0.2867102026939392,0.6537275910377502,0.3048688649105256
"Is a ""chatbot"" a ""service""?",bigscience/T0_3B,t0_3b,No,0.2378324121236801,0.6735632419586182,0.2609540774727065
"Is ""plagiarism"" a form of ""theft""?",bigscience/T0_3B,t0_3b,No,0.2315782904624939,0.7133113741874695,0.2450850074101325
"Is ""remote viewing"" of an event ""attending"" it?",bigscience/T0_3B,t0_3b,Yes,0.5100110769271851,0.4607566595077514,0.5253687960419432
"Is ""whistling"" a form of ""music""?",bigscience/T0_3B,t0_3b,No,0.3313614726066589,0.6166512370109558,0.349532732256633
"Is ""caching"" data in computer memory ""storing"" that data?",bigscience/T0_3B,t0_3b,No,0.1647779494524002,0.8031834959983826,0.1702319345742769
"Is a ""waterway"" a form of ""roadway""?",bigscience/T0_3B,t0_3b,No,0.198198065161705,0.7854210734367371,0.2014987888951787
"Is a ""deepfake"" a ""portrait""?",bigscience/T0_3B,t0_3b,No,0.0920939221978187,0.8568627238273621,0.0970475548946996
"Is ""humming"" a form of ""singing""?",bigscience/T0_3B,t0_3b,No,0.3118063509464264,0.6485921740531921,0.3246635046076838
"Is ""liking"" a social media post ""endorsing"" it?",bigscience/T0_3B,t0_3b,No,0.3876228928565979,0.5216036438941956,0.4263215790443213
"Is ""herding"" animals a form of ""transporting"" them?",bigscience/T0_3B,t0_3b,No,0.2809074223041534,0.7007054686546326,0.2861692474614696
"Is an ""NFT"" a ""security""?",bigscience/T0_3B,t0_3b,No,0.130276471376419,0.8233726024627686,0.1366083971035108
"Is ""sleeping"" an ""activity""?",bigscience/T0_3B,t0_3b,No,0.3075303435325622,0.6372036933898926,0.3255205502432901
"Is a ""driverless car"" a ""motor vehicle operator""?",bigscience/T0_3B,t0_3b,No,0.2365517765283584,0.7117521166801453,0.2494472270149668
"Is a ""subscription fee"" a form of ""purchase""?",bigscience/T0_3B,t0_3b,No,0.3919418752193451,0.5636281967163086,0.4101654988266917
"Is ""mentoring"" someone a form of ""supervising"" them?",bigscience/T0_3B,t0_3b,No,0.2251282632350921,0.688047468662262,0.2465333400476282
"Is a ""biometric scan"" a form of ""signature""?",bigscience/T0_3B,t0_3b,No,0.3603740334510803,0.5988163352012634,0.3757064762414196
"Is a ""digital wallet"" a ""bank account""?",bigscience/T0_3B,t0_3b,No,0.1694066226482391,0.7681772708892822,0.1806842287030601
"Is ""dictation"" a form of ""writing""?",bigscience/T0_3B,t0_3b,No,0.2240162044763565,0.7431790828704834,0.231614243169925
"Is a ""virtual tour"" a form of ""inspection""?",bigscience/T0_3B,t0_3b,No,0.3751841485500335,0.5948768854141235,0.3867634462306382
"Is ""bartering"" a form of ""payment""?",bigscience/T0_3B,t0_3b,No,0.2584269940853119,0.6915864944458008,0.2720245524986022
"Is ""listening"" to an audiobook ""reading"" it?",bigscience/T0_3B,t0_3b,No,0.3747716546058655,0.5895985960960388,0.3886180171288909
"Is a ""nest"" a form of ""dwelling""?",bigscience/T0_3B,t0_3b,No,0.2258384674787521,0.7521569728851318,0.2309197549987801
"Is a ""QR code"" a ""document""?",bigscience/T0_3B,t0_3b,No,0.2609900236129761,0.6561288237571716,0.2845760114530073
"Is a ""tent"" a ""building""?",bigscience/T0_3B,t0_3b,No,0.2337668687105178,0.7271189093589783,0.2432826815068239
"Is a ""whisper"" a form of ""speech""?",bigscience/T0_3B,t0_3b,No,0.4289053082466125,0.5053739547729492,0.4590761298291089
"Is ""hiking"" a form of ""travel""?",bigscience/T0_3B,t0_3b,No,0.391866534948349,0.5657253861427307,0.4092208030554983
"Is a ""recipe"" a form of ""instruction""?",bigscience/T0_3B,t0_3b,No,0.3902681171894073,0.5546827912330627,0.4130035896160287
"Is ""daydreaming"" a form of ""thinking""?",bigscience/T0_3B,t0_3b,No,0.1998651325702667,0.7296497821807861,0.2150208989640532
"Is ""gossip"" a form of ""news""?",bigscience/T0_3B,t0_3b,No,0.2789998650550842,0.6214108467102051,0.3098584472724612
"Is a ""mountain"" a form of ""hill""?",bigscience/T0_3B,t0_3b,No,0.2631353437900543,0.6758882999420166,0.2802222771987347
"Is ""walking"" a form of ""exercise""?",bigscience/T0_3B,t0_3b,No,0.3123886585235595,0.6261315941810608,0.3328523360293189
"Is a ""candle"" a ""lamp""?",bigscience/T0_3B,t0_3b,No,0.2277896851301193,0.7210919260978699,0.2400612283289237
"Is a ""trail"" a ""road""?",bigscience/T0_3B,t0_3b,No,0.2171767055988311,0.736135721206665,0.227812729061531
"Is ""repainting"" a house ""repairing"" it?",bigscience/T0_3B,t0_3b,No,0.2380374670028686,0.7218396067619324,0.2479874491316323
"Is ""kneeling"" a form of ""sitting""?",bigscience/T0_3B,t0_3b,No,0.1810525059700012,0.765242874622345,0.1913276865587878
"Is a ""mask"" a form of ""clothing""?",bigscience/T0_3B,t0_3b,No,0.375162810087204,0.5948430895805359,0.3867634312489337
"Is a ""screenshot"" a ""photograph""?",facebook/opt-iml-1.3b,opt,Yes,0.5081073641777039,0.5081073641777039,0.5
"Is ""advising"" someone ""instructing"" them?",facebook/opt-iml-1.3b,opt,No.,0.01420090906322,0.01420090906322,0.5
"Is an ""algorithm"" a ""procedure""?",facebook/opt-iml-1.3b,opt,No,0.5759157538414001,0.5759157538414001,0.5
