,GPT-4.1,Gemini,Claude
"Is ""herding"" animals a form of ""transporting"" them...",0.18915918206597016,0.4212359550561797,0.17123595505617972
"Is an ""NFT"" a ""security""?",0.10677705943869656,0.28921348314606743,0.18921348314606745
"Is ""sleeping"" an ""activity""?",0.2762174335090146,0.2765168539325843,0.026516853932584294
"Is a ""driverless car"" a ""motor vehicle operator""?",0.20330252123441425,0.42471910112359545,0.27471910112359543
"Is a ""subscription fee"" a form of ""purchase""?",0.046516948967251004,0.14505617977528085,0.08494382022471914
"Is ""mentoring"" someone a form of ""supervising"" the...",0.2241935116381792,0.4984269662921349,0.15157303370786512
"Is a ""biometric scan"" a form of ""signature""?",0.09821086318954853,0.35932584269662926,0.20932584269662924
"Is a ""digital wallet"" a ""bank account""?",0.33680961774647994,0.4617441860465116,0.26174418604651156
"Is ""dictation"" a form of ""writing""?",0.32955532092011885,0.3644186046511628,0.26441860465116285
"Is a ""virtual tour"" a form of ""inspection""?",0.20928323154038486,0.4405813953488372,0.2094186046511628
"Is ""bartering"" a form of ""payment""?",0.25775414202238733,0.3211627906976745,0.17116279069767448
"Is ""listening"" to an audiobook ""reading"" it?",0.27754724712479517,0.41023255813953496,0.310232558139535
"Is a ""nest"" a form of ""dwelling""?",0.18713640272690668,0.19186046511627908,0.14186046511627903
"Is a ""QR code"" a ""document""?",0.05258497765628997,0.6217441860465116,0.5217441860465116
"Is a ""tent"" a ""building""?",0.19720129479655646,0.3156976744186046,0.16569767441860458
"Is a ""whisper"" a form of ""speech""?",0.12273420537395319,0.16348837209302325,0.1134883720930232
"Is ""hiking"" a form of ""travel""?",0.008578792453871054,0.2701176470588236,0.020117647058823573
"Is a ""recipe"" a form of ""instruction""?",0.13526536996186234,0.13526881720430106,0.08526881720430102
"Is ""daydreaming"" a form of ""thinking""?",0.21883108920269767,0.2231182795698925,0.17311827956989245
"Is ""gossip"" a form of ""news""?",0.36310529895774457,0.3141935483870969,0.26419354838709685
"Is a ""mountain"" a form of ""hill""?",0.46210872548673637,0.5494623655913978,0.4494623655913978
"Is ""walking"" a form of ""exercise""?",0.06333333145135278,0.06333333333333335,0.06333333333333335
"Is a ""candle"" a ""lamp""?",0.20464463044626716,0.291505376344086,0.35849462365591395
"Is a ""trail"" a ""road""?",0.39548306737266836,0.46505376344086025,0.3650537634408602
"Is ""repainting"" a house ""repairing"" it?",0.14650131982785675,0.40215053763440867,0.2478494623655913
"Is ""kneeling"" a form of ""sitting""?",0.1077538133978872,0.32869565217391306,0.17869565217391306
"Is a ""mask"" a form of ""clothing""?",0.5072656291533019,0.46869565217391307,0.31869565217391305
"Is ""typing"" a form of ""speech""?",0.12002606933227578,0.3556179775280899,0.39438202247191007
"Is ""charging"" an electric vehicle ""refueling"" it?",0.24430752648012588,0.17674157303370785,0.1267415730337078
"Is a ""billboard"" a ""structure""?",0.16752359241308545,0.21374999999999988,0.06374999999999986
"Is ""littering"" a form of ""vandalism""?",0.3180637108539262,0.5364367816091953,0.43643678160919525
"Is ""memorizing"" a type of ""learning""?",0.1836075945445963,0.18727272727272715,0.037272727272727124
"Is ""paraphrasing"" text ""copying"" it?",0.31788951634307855,0.3917977528089887,0.1917977528089887
"Is a ""vending machine"" a ""retailer""?",0.285176945146154,0.4173033707865169,0.2673033707865169
"Is a ""windmill"" a ""machine""?",0.17806816328889552,0.17806818181818163,0.12806818181818158
"Is “biodegradable plastic"" an “organic material”?",0.22973096538873317,0.5391011235955057,0.28910112359550566
"Is a ""cave"" a ""structure""?",0.20132833606749512,0.565505617977528,0.46550561797752793
"Is a ""canyon"" a ""valley""?",0.2296198298783998,0.3519512195121951,0.1019512195121951
"Is ""bartering"" a type of ""sale""?",0.34453828087607197,0.1998795180722892,0.5001204819277107
"Is a ""birdcage"" a ""habitat""?",0.351828237283986,0.46654320987654313,0.2665432098765432
"Is ""chewing gum"" a ""food""?",0.4702276439305531,0.508641975308642,0.09135802469135801
"Is a ""hammock"" a ""bed""?",0.06885806852763354,0.09614457831325296,0.146144578313253
Is a “deepfake video” a “recording”?,0.47925829455179564,0.4982926829268292,0.25170731707317073
"Is a ""moat"" a ""barrier""?",0.18565344854113242,0.2400000000000001,0.19000000000000006
"Is a ""donation"" a ""payment""?",0.2764294686165035,0.44207317073170727,0.34207317073170723
"Is a ""bridge"" a ""road""?",0.2867115976647034,0.2774390243902438,0.37256097560975615
"Is a ""pond"" a ""lake""?",0.052132437425263634,0.3269512195121951,0.3269512195121951
Is a “hoverboard” a “vehicle”?,0.1947521149412612,0.4405813953488371,0.24058139534883716
"Is ""volunteering"" a form of ""donation""?",0.03887090202411847,0.18244186046511623,0.06755813953488377
"Is a ""voice memo"" a ""document""?",0.1382856079055535,0.4681395348837209,0.26813953488372094
"Is a ""podcast"" a ""publication""?",0.2304629102527801,0.3238372093023255,0.12383720930232556
"Is a ""meme"" a ""statement""?",0.19301136354399562,0.37611764705882345,0.1761176470588235
"Is a ""sundial"" a type of ""clock""?",0.16319542527603337,0.16767441860465104,0.117674418604651
"Is ""stretching"" a form of ""exercise""?",0.24365434821046572,0.2451162790697674,0.09511627906976738
"Is a ""basement"" a ""story"" of a building?",0.21677855865625428,0.4584883720930233,0.3415116279069767
"Is a ""virus"" a ""living organism""?",0.7301218455669402,0.6367441860465116,0.5867441860465116
"Is ""fasting"" a form of ""diet""?",0.2194431378099423,0.27127906976744187,0.24127906976744184
"Is ""composting"" a form of ""waste disposal""?",0.1387498973029393,0.04010416666666672,0.09010416666666665
"Is a ""garden gnome"" a form of ""art""?",0.26955056506431774,0.2830851063829787,0.1830851063829787
"Is ""silence"" a form of ""communication""?",0.2525469288188933,0.28770833333333334,0.13770833333333332
"Is a ""picnic table"" an item of ""furniture""?",0.1367933195115021,0.13562499999999988,0.13562499999999988
"Is a ""carport"" a ""building""?",0.08643450893206905,0.4148421052631579,0.33515789473684204
"Is a ""parking lot"" a ""facility""?",0.4349925717866743,0.4931249999999999,0.24312499999999992
"Is a ""raft"" a type of ""boat""?",0.12050840619818182,0.13329787234042545,0.09670212765957453
Is “wearing” a smartwatch “carrying” it?,0.43453712798128075,0.5159374999999999,0.5159374999999999
"Is a ""jigsaw puzzle"" a ""toy""?",0.27858876388695275,0.2659374999999998,0.035937499999999845
Is a “Fitbit” a “medical device”?,0.2789108189099675,0.20042105263157894,0.25042105263157893
"Is a ""livestream"" an ""event""?",0.15755084064939573,0.22726190476190467,0.002738095238095317
Is “virtual reality” a “place”?,0.06358373902405695,0.5079761904761904,0.1920238095238096
"Is ""hibernation"" a form of ""sleep""?",0.6429061336259753,0.825595238095238,0.6255952380952381
"Is ""knitting"" a form of ""sewing""?",0.462881435769779,0.5783333333333333,0.5283333333333332
"Is a ""smart thermostat"" a ""home appliance""?",0.24596829510603246,0.2861904761904762,0.18619047619047624
"Is a ""dock"" a ""structure""?",0.144508041002394,0.1445238095238095,0.09452380952380945
"Is a ""skylight"" a ""window""?",0.15435587026968534,0.20416666666666672,0.054166666666666696
"Is a ""digital avatar"" a ""likeness""?",0.297508467702554,0.3375,0.23750000000000004
Is a “chatroom” a “public place”?,0.004674112386007567,0.017142857142857126,0.1171428571428571
"Is an ""algorithmic recommendation"" an ""editorial d...",0.10319702633372463,0.5928571428571429,0.44285714285714284
