id,question,n,mean,sd,median,iqr,pct_0_25,pct_26_50,pct_51_75,pct_76_100
Q33,"Is a ""virtual tour"" a form of ""inspection""?",86,54.05813953488372,32.95356970796863,59.5,57.5,26.744186046511626,16.27906976744186,23.25581395348837,33.72093023255814
Q34,"Is ""bartering"" a form of ""payment""?",86,67.88372093023256,34.362913868314536,79.5,63.25,16.27906976744186,11.627906976744185,17.441860465116278,54.65116279069767
Q35,"Is ""listening"" to an audiobook ""reading"" it?",86,43.97674418604651,34.14259948895516,41.0,66.75,38.372093023255815,20.930232558139537,11.627906976744185,29.069767441860467
Q36,"Is a ""nest"" a form of ""dwelling""?",86,80.81395348837209,25.226275576869533,90.0,29.75,6.976744186046512,5.813953488372093,17.441860465116278,69.76744186046511
Q37,"Is a ""QR code"" a ""document""?",86,22.825581395348838,23.464712861188026,18.0,38.75,63.95348837209303,24.418604651162788,6.976744186046512,4.651162790697675
Q38,"Is a ""tent"" a ""building""?",86,31.569767441860463,30.832580437191247,20.5,59.75,55.81395348837209,13.953488372093023,18.6046511627907,11.627906976744185
Q39,"Is a ""whisper"" a form of ""speech""?",86,83.65116279069767,23.976344931600185,96.5,23.5,5.813953488372093,4.651162790697675,13.953488372093023,75.5813953488372
Q40,"Is ""hiking"" a form of ""travel""?",85,72.98823529411764,28.998150235607007,83.0,47.0,7.0588235294117645,15.294117647058824,20.0,57.647058823529406
Q41,"Is a ""recipe"" a form of ""instruction""?",93,86.47311827956989,22.353674631220404,95.0,19.0,5.376344086021505,0.0,6.451612903225806,88.17204301075269
Q42,"Is ""daydreaming"" a form of ""thinking""?",93,77.68817204301075,22.057227197049343,80.0,29.0,3.225806451612903,7.526881720430108,29.03225806451613,60.215053763440864
Q43,"Is ""gossip"" a form of ""news""?",93,48.58064516129032,28.671422896040415,50.0,48.0,26.881720430107524,24.731182795698924,27.956989247311824,20.43010752688172
Q44,"Is a ""mountain"" a form of ""hill""?",93,64.94623655913979,28.938602769445858,71.0,36.0,15.053763440860216,10.75268817204301,27.956989247311824,46.236559139784944
Q45,"Is ""walking"" a form of ""exercise""?",93,93.66666666666667,12.28496193950443,100.0,10.0,0.0,2.1505376344086025,4.301075268817205,93.54838709677419
Q46,"Is a ""candle"" a ""lamp""?",93,39.1505376344086,30.51939733740236,32.0,50.0,39.784946236559136,29.03225806451613,13.978494623655912,17.20430107526882
Q47,"Is a ""trail"" a ""road""?",93,56.505376344086024,28.61879272205058,60.0,39.0,18.27956989247312,22.58064516129032,30.107526881720432,29.03225806451613
Q48,"Is ""repainting"" a house ""repairing"" it?",93,44.784946236559136,27.421765974894114,46.0,44.0,29.03225806451613,29.03225806451613,29.03225806451613,12.903225806451612
Q49,"Is ""kneeling"" a form of ""sitting""?",92,32.869565217391305,29.55873920763791,25.0,46.0,52.17391304347826,19.565217391304348,17.391304347826086,10.869565217391305
Q50,"Is a ""mask"" a form of ""clothing""?",92,43.130434782608695,29.61704936342748,47.0,55.25,33.69565217391305,23.91304347826087,26.08695652173913,16.304347826086957
Q51,"Is ""typing"" a form of ""speech""?",89,59.438202247191015,33.2343452744637,69.0,60.0,21.34831460674157,17.97752808988764,21.34831460674157,39.325842696629216
Q52,"Is ""charging"" an electric vehicle ""refueling"" it?",89,72.32584269662921,32.795085302838125,84.0,29.0,16.853932584269664,4.49438202247191,11.235955056179774,67.41573033707866
Q53,"Is a ""billboard"" a ""structure""?",88,78.625,27.7046460687211,90.0,30.0,10.227272727272728,2.272727272727273,20.454545454545457,67.04545454545455
Q54,"Is ""littering"" a form of ""vandalism""?",87,63.64367816091954,30.869182725296977,71.0,42.0,16.091954022988507,14.942528735632186,24.137931034482758,44.827586206896555
Q55,"Is ""memorizing"" a type of ""learning""?",88,81.27272727272727,19.597517595980488,87.0,29.0,1.1363636363636365,6.8181818181818175,21.59090909090909,70.45454545454545
Q56,"Is ""paraphrasing"" text ""copying"" it?",89,39.17977528089887,29.033507991845624,35.0,55.0,39.325842696629216,25.842696629213485,21.34831460674157,13.48314606741573
Q57,"Is a ""vending machine"" a ""retailer""?",89,58.26966292134831,30.7662610533563,61.0,51.0,21.34831460674157,17.97752808988764,29.213483146067414,31.46067415730337
Q58,"Is a ""windmill"" a ""machine""?",88,82.19318181818181,25.75073169568418,90.0,20.0,7.954545454545454,1.1363636363636365,11.363636363636363,79.54545454545455
Q59,"Is “biodegradable plastic"" an “organic material”?",89,46.08988764044944,31.542770548112422,50.0,50.0,34.831460674157306,21.34831460674157,21.34831460674157,22.47191011235955
Q60,"Is a ""cave"" a ""structure""?",89,66.5505617977528,31.523804582610502,74.0,45.0,14.606741573033707,15.730337078651685,21.34831460674157,48.31460674157304
Q61,"Is a ""canyon"" a ""valley""?",82,64.8048780487805,28.8783908380012,72.0,39.0,14.634146341463413,13.414634146341465,29.268292682926827,42.68292682926829
Q62,"Is ""bartering"" a type of ""sale""?",83,70.01204819277109,26.63552275783254,78.0,31.5,6.024096385542169,15.66265060240964,26.506024096385545,51.80722891566265
Q63,"Is a ""birdcage"" a ""habitat""?",81,48.34567901234568,33.76135382868523,59.0,60.0,34.5679012345679,9.876543209876543,28.39506172839506,27.160493827160494
Q64,"Is ""chewing gum"" a ""food""?",81,29.135802469135804,31.545107816593273,11.0,51.0,60.49382716049383,9.876543209876543,18.51851851851852,11.11111111111111
Q65,"Is a ""hammock"" a ""bed""?",83,60.3855421686747,29.35976644973451,67.0,42.0,15.66265060240964,20.481927710843372,30.120481927710845,33.734939759036145
Q66,Is a “deepfake video” a “recording”?,82,45.170731707317074,36.42811452508977,36.5,71.0,41.46341463414634,15.853658536585366,12.195121951219512,30.48780487804878
Q67,"Is a ""moat"" a ""barrier""?",82,76.0,25.806497411349245,81.5,32.5,7.317073170731707,6.097560975609756,26.82926829268293,59.756097560975604
Q68,"Is a ""donation"" a ""payment""?",82,54.207317073170735,33.351009315201665,53.0,56.5,25.609756097560975,21.951219512195124,19.51219512195122,32.926829268292686
Q69,"Is a ""bridge"" a ""road""?",82,57.25609756097561,30.957482182850004,56.0,40.0,20.73170731707317,17.073170731707318,26.82926829268293,35.36585365853659
Q70,"Is a ""pond"" a ""lake""?",82,32.69512195121951,32.84557546706591,20.5,50.0,51.21951219512195,21.951219512195124,9.75609756097561,17.073170731707318
Q71,Is a “hoverboard” a “vehicle”?,86,50.94186046511628,31.834629554164582,51.5,55.75,27.906976744186046,17.441860465116278,25.581395348837212,29.069767441860467
Q72,"Is ""volunteering"" a form of ""donation""?",86,81.75581395348837,21.93409167403518,90.0,29.75,4.651162790697675,3.488372093023256,22.093023255813954,69.76744186046511
Q73,"Is a ""voice memo"" a ""document""?",86,48.18604651162791,33.169621689274294,51.5,58.5,33.72093023255814,15.11627906976744,24.418604651162788,26.744186046511626
Q74,"Is a ""podcast"" a ""publication""?",86,62.616279069767444,26.216819300347748,60.5,36.25,10.465116279069768,19.767441860465116,32.55813953488372,37.2093023255814
Q75,"Is a ""meme"" a ""statement""?",85,57.38823529411765,26.773340559330325,59.0,36.0,15.294117647058824,23.52941176470588,32.94117647058823,28.235294117647058
Q76,"Is a ""sundial"" a type of ""clock""?",86,83.23255813953489,20.900703291631487,90.0,29.5,2.3255813953488373,5.813953488372093,18.6046511627907,73.25581395348837
Q77,"Is ""stretching"" a form of ""exercise""?",86,75.48837209302326,25.901053435786107,80.0,33.75,8.13953488372093,6.976744186046512,25.581395348837212,59.30232558139535
Q78,"Is a ""basement"" a ""story"" of a building?",86,54.151162790697676,34.6849746896296,52.5,65.75,25.581395348837212,20.930232558139537,13.953488372093023,39.53488372093023
Q79,"Is a ""virus"" a ""living organism""?",86,73.67441860465117,30.42500591539993,88.5,48.0,10.465116279069768,12.790697674418606,15.11627906976744,61.627906976744185
Q80,"Is ""fasting"" a form of ""diet""?",86,70.87209302325581,27.30386592391716,78.5,38.25,9.30232558139535,15.11627906976744,22.093023255813954,53.48837209302325
Q81,"Is ""composting"" a form of ""waste disposal""?",96,85.98958333333333,19.14184987577394,96.0,22.0,2.083333333333333,4.166666666666666,16.666666666666664,77.08333333333334
Q82,"Is a ""garden gnome"" a form of ""art""?",94,66.69148936170212,27.249948839152797,70.0,38.75,10.638297872340425,13.829787234042554,35.1063829787234,40.42553191489361
Q83,"Is ""silence"" a form of ""communication""?",96,71.22916666666667,33.32944933512187,82.5,41.75,15.625,5.208333333333334,20.833333333333336,58.333333333333336
Q84,"Is a ""picnic table"" an item of ""furniture""?",96,81.4375,23.710451837023044,90.0,25.25,5.208333333333334,6.25,14.583333333333334,73.95833333333334
Q85,"Is a ""carport"" a ""building""?",95,53.51578947368421,31.34803368834192,60.0,52.5,24.210526315789473,15.789473684210526,30.526315789473685,29.47368421052631
Q86,"Is a ""parking lot"" a ""facility""?",96,50.6875,33.223109427023836,51.0,56.5,27.083333333333332,21.875,21.875,29.166666666666668
Q87,"Is a ""raft"" a type of ""boat""?",94,84.67021276595744,17.27786096494981,89.5,25.0,1.0638297872340425,4.25531914893617,21.27659574468085,73.40425531914893
Q88,Is “wearing” a smartwatch “carrying” it?,96,43.40625,33.287133004874576,42.0,60.0,35.41666666666667,27.083333333333332,16.666666666666664,20.833333333333336
Q89,"Is a ""jigsaw puzzle"" a ""toy""?",96,71.40625,26.560587392442564,80.0,38.0,6.25,16.666666666666664,20.833333333333336,56.25
Q90,Is a “Fitbit” a “medical device”?,95,45.04210526315789,29.308671213254865,46.0,49.0,29.47368421052631,25.263157894736842,25.263157894736842,20.0
Q91,"Is a ""livestream"" an ""event""?",84,75.27380952380952,26.08066781172312,80.5,38.5,5.952380952380952,14.285714285714285,17.857142857142858,61.904761904761905
Q92,Is “virtual reality” a “place”?,84,39.20238095238095,32.90247720629798,40.5,60.25,44.047619047619044,14.285714285714285,26.190476190476193,15.476190476190476
Q93,"Is ""hibernation"" a form of ""sleep""?",84,82.55952380952381,24.067350873824143,90.0,25.0,7.142857142857142,2.380952380952381,16.666666666666664,73.80952380952381
Q94,"Is ""knitting"" a form of ""sewing""?",84,57.833333333333336,34.47675428959898,60.5,62.5,25.0,13.095238095238097,19.047619047619047,42.857142857142854
Q95,"Is a ""smart thermostat"" a ""home appliance""?",84,66.38095238095238,33.14295606054837,75.0,52.5,17.857142857142858,10.714285714285714,22.61904761904762,48.80952380952381
Q96,"Is a ""dock"" a ""structure""?",84,85.54761904761905,20.82248828452428,100.0,26.75,1.1904761904761905,10.714285714285714,14.285714285714285,73.80952380952381
Q97,"Is a ""skylight"" a ""window""?",84,79.58333333333333,27.0765128884944,91.0,30.0,5.952380952380952,10.714285714285714,14.285714285714285,69.04761904761905
Q98,"Is a ""digital avatar"" a ""likeness""?",84,61.25,27.97670071921509,60.0,31.0,10.714285714285714,25.0,27.380952380952383,36.904761904761905
Q99,Is a “chatroom” a “public place”?,84,61.714285714285715,31.048183086577303,66.0,42.0,14.285714285714285,27.380952380952383,16.666666666666664,41.66666666666667
Q100,"Is an ""algorithmic recommendation"" an ""editorial decision""?",84,30.714285714285715,27.686093864240807,24.5,46.75,53.57142857142857,21.428571428571427,15.476190476190476,9.523809523809524
